date       | user_id | username            | Total_Money | Time | Sent_Money | Rece_Money | Driven_distance | GEarned_by_driving | Lost_by_driving | Total_Wealth | Hard_crashes | Lost_by_stealing | Mail_Courier_Delivered_parcels | Mail_Courier_Delivered_kg | Mail_Courier_Driven_distance | Mail_Courier_Earned_money | Mail_Courier_Paid_penalties | Taxiing_Paid_penalties
2026-02-01 | 49599   | maskelilaz          |       2,723 |    0 |          0 |          0 |              86 |              2,568 |               3 |        3,135 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                     25
2026-02-01 | 1505    | klbbadd2002         |       2,652 |    0 |          0 |          0 |              87 |                272 |             135 |        1,633 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 48787   | atlasglobal         |       2,565 |    0 |          0 |          0 |              72 |              1,016 |             266 |        2,563 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 22001   | lavezzi             |       2,456 |    0 |          0 |          0 |              15 |                412 |               0 |        2,427 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 48435   | ciuk4s              |       2,380 |    0 |      3,000 |          0 |             166 |                630 |               7 |        1,019 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 43573   | wampy               |       2,378 |    0 |          0 |          0 |             185 |              3,870 |           3,106 |        2,282 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 49204   | mecharnic           |       2,348 |    0 |          0 |          0 |             240 |              3,260 |             842 |        2,418 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 44876   | silver razor        |       2,287 |    0 |          0 |          0 |              70 |              2,233 |               0 |        2,281 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 17995   | rocky_4             |       2,282 |    0 |          0 |          0 |              84 |              1,427 |              49 |        2,138 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 41329   | rfi95               |       2,235 |    0 |          0 |          0 |             238 |              6,996 |             212 |       12,306 |            0 |                0 |                             73 |                       236 |                           71 |                       824 |                           0 |                      0
2026-02-01 | 24865   | raphi_59            |       2,229 |    0 |          0 |          0 |              74 |              1,805 |             321 |        2,382 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 40242   | astraxan            |       2,223 |    0 |          0 |          0 |              78 |                275 |               9 |        1,781 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 43544   | koles799            |       2,205 |    0 |          0 |          0 |              96 |              1,498 |             364 |        2,177 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 489     | =Wolf=[NO]          |       2,177 |    0 |          0 |          0 |             183 |              1,611 |             188 |        1,834 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 27733   | tannuq              |       2,165 |    0 |          0 |          0 |             282 |              2,019 |             779 |        1,303 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 49112   | syco_               |       2,128 |    0 |          0 |          0 |              43 |              1,420 |              79 |        2,121 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 49639   | donae36             |       2,081 |    0 |          0 |          0 |              29 |                689 |              17 |       -6,612 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 40605   | emileker            |       2,041 |    0 |          0 |         50 |             154 |                736 |           1,221 |        1,832 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 22170   | soras99             |       2,019 |    0 |        250 |        100 |              78 |                467 |               3 |        2,011 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 4945    | eskejd              |       1,969 |    0 |          0 |          0 |              70 |              1,794 |               0 |        1,977 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 43057   | map_emece           |       1,954 |    0 |          0 |          0 |              83 |              1,808 |               3 |        1,969 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 39264   | lubomir371          |       1,928 |    0 |          0 |          0 |              99 |              1,991 |              57 |        1,928 |            2 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 28536   | piieter050          |       1,837 |    0 |          0 |          0 |             108 |              2,263 |             613 |        1,847 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 39820   | valdas1             |       1,824 |    0 |          0 |          0 |             107 |              2,064 |             226 |        1,795 |            2 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 45545   | malanek             |       1,821 |    0 |          0 |          0 |             119 |              1,265 |             302 |        1,671 |            1 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 40191   | mooses60            |       1,743 |    0 |          0 |          0 |              49 |              1,667 |               0 |        1,758 |            1 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 48478   | midranit            |       1,649 |    0 |          0 |          0 |              93 |              1,799 |             231 |        1,569 |            0 |                0 |                             19 |                        84 |                           33 |                       266 |                           0 |                      0
2026-02-01 | 25704   | psykoze             |       1,594 |    0 |          0 |          0 |             151 |              1,195 |             293 |        1,208 |            3 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 3704    | ian78               |       1,573 |    0 |          0 |          0 |              12 |                267 |               0 |        1,560 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 45075   | iosonome            |       1,554 |    0 |          0 |          1 |              96 |              2,034 |             143 |        1,548 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 49510   | macius332           |       1,493 |    0 |          0 |          0 |              67 |              1,271 |              48 |        1,488 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 10038   | keskitalo           |       1,395 |    0 |          0 |         50 |             137 |              2,994 |           1,571 |        1,352 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 5536    | Wobo                |       1,356 |    0 |          0 |          0 |              27 |              1,022 |               0 |        1,366 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 49230   | nora vale           |       1,323 |    0 |          0 |          0 |              51 |              1,264 |               0 |        1,328 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 39516   | mehmetgulec         |       1,320 |    0 |          0 |          0 |              66 |              1,324 |              52 |        1,323 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 48786   | s1a2s1h3k4o5bg      |       1,303 |    0 |          0 |          0 |             167 |              1,872 |             994 |        1,289 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 39239   | jordanvalov         |       1,289 |    0 |          0 |          0 |              62 |              1,316 |              59 |        1,283 |            3 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 48858   | zabaraca            |       1,282 |    0 |          0 |          0 |              36 |                853 |               0 |        1,264 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 28842   | gumis0517           |       1,219 |    0 |          0 |         75 |             107 |              1,544 |             483 |          934 |            1 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 28938   | speeddemonn         |       1,218 |    0 |          0 |         31 |             156 |              3,569 |             180 |        2,135 |            1 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 29964   | viktors3232         |       1,212 |    0 |          0 |          0 |              20 |                291 |               9 |        1,212 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 49550   | affenss             |       1,188 |    0 |          0 |          0 |              57 |                757 |             291 |        1,184 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 731     | Lucky Loser         |       1,157 |    0 |          0 |          0 |              52 |              1,026 |              30 |        1,157 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 49276   | _leo_st_            |       1,155 |    0 |          0 |          0 |              70 |              1,026 |              10 |        1,121 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 47376   | evari albo          |       1,144 |    0 |      1,000 |          0 |              87 |              1,174 |             160 |        1,135 |            2 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 7370    | FFD_Sivy121         |       1,141 |    0 |          0 |          0 |             167 |              2,098 |             935 |        1,119 |            3 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 48324   | b0ldeau             |       1,140 |    0 |          0 |          0 |              91 |                965 |             261 |        1,137 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 49054   | dunj                |       1,072 |    0 |          0 |          0 |              45 |              1,046 |               3 |        1,084 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 540     | NoLiMiT87           |       1,070 |    0 |          0 |          0 |              77 |                934 |              95 |        1,040 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 87      | LeonRL              |       1,064 |    0 |          0 |          0 |              15 |                114 |              20 |          941 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 36535   | raif6708            |       1,054 |    0 |          0 |          0 |              61 |              1,122 |              40 |          943 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 47805   | papucs_deck         |       1,051 |    0 |          0 |          0 |              41 |                601 |             562 |        1,064 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 45961   | snipez1234          |       1,017 |    0 |          0 |          0 |              67 |                665 |             432 |        1,017 |            1 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 40974   | pauliusna           |         964 |    0 |          0 |          0 |             126 |              2,411 |             626 |          986 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 23655   | lewis2212           |         959 |    0 |          0 |          0 |              85 |              1,298 |             281 |          959 |            2 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 43848   | biker12356          |         894 |    0 |          0 |          0 |              98 |              1,687 |             660 |          952 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 26253   | lucasazedo          |         880 |    0 |         90 |          0 |             260 |              3,407 |           4,010 |          922 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 44671   | kueyz5              |         880 |    0 |          0 |          0 |              53 |                960 |              87 |          890 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 46983   | shamrox             |         880 |    0 |          0 |          0 |              71 |                791 |             471 |         -399 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 31357   | ulfrevo123          |         869 |    0 |          0 |          0 |              99 |              1,068 |             359 |          860 |            1 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 49400   | icemanzidane        |         855 |    0 |          0 |          0 |              77 |              1,631 |             903 |          892 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 43637   | cihanarisoylu       |         849 |    0 |          0 |          0 |               9 |                 47 |             137 |          888 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 46092   | zaincey             |         834 |    0 |          0 |          0 |             104 |                792 |             193 |          840 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 45900   | csaba119            |         819 |    0 |          0 |          0 |              42 |                957 |              50 |          831 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 29093   | hunterhei           |         793 |    0 |          0 |          0 |             109 |              2,380 |             561 |        2,240 |            0 |                0 |                             20 |                        27 |                           26 |                       150 |                           0 |                      0
2026-02-01 | 28459   | pro player128       |         788 |    0 |          0 |          0 |             230 |              2,572 |           2,774 |          726 |            2 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 41796   | countess            |         782 |    0 |          0 |          0 |              60 |                811 |             157 |          780 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 36529   | subbyhowl           |         778 |    0 |          0 |          0 |              81 |              1,658 |             842 |          665 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 10940   | histo               |         776 |    0 |          0 |          0 |              29 |                743 |               5 |          767 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 23754   | thijsssiiee         |         756 |    0 |          0 |          0 |              55 |                212 |               6 |          767 |            1 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 47374   | ross2750            |         749 |    0 |          0 |          0 |              54 |                801 |              70 |          700 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 29620   | pimpinho62          |         743 |    0 |          0 |          0 |              50 |                334 |              55 |          136 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 42816   | fastranker1         |         737 |    0 |          0 |          0 |              27 |                333 |             262 |          730 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 43077   | m.regaip zencir     |         712 |    0 |          0 |          0 |              64 |                840 |             667 |          727 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 23426   | stefdu66            |         668 |    0 |          0 |          0 |              59 |                789 |             165 |          682 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 30307   | candeniztkntrhn     |         668 |    0 |          0 |          0 |              24 |                676 |              24 |          661 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 40684   | mateka_0615         |         649 |    0 |          0 |          0 |              26 |                704 |              11 |          649 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 48233   | gmasterz            |         643 |    0 |          0 |          0 |              53 |                688 |             109 |          642 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 40394   | terminatorss        |         624 |    0 |          0 |          0 |              22 |                624 |               0 |          605 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 3245    | [OD]Jardim          |         622 |    0 |          0 |        200 |             189 |              1,615 |           2,754 |          612 |            1 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 36964   | scottly             |         602 |    0 |          0 |          0 |              11 |                602 |               0 |          588 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 36473   | jamarsk             |         558 |    0 |          0 |          0 |             123 |              1,427 |           2,029 |            5 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 48071   | mert k.             |         535 |    0 |          0 |          0 |             137 |              1,030 |             396 |          536 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 32220   | compactrhone        |         488 |    0 |          0 |          0 |              61 |                510 |              84 |          317 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 28713   | robiii47            |         480 |    0 |          0 |         50 |             199 |              2,743 |           1,353 |          422 |            2 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 46757   | snst                |         449 |    0 |         75 |          0 |              34 |                811 |             159 |          452 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 29639   | 13brotary           |         432 |    0 |          0 |          0 |              51 |                665 |             319 |          430 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 26082   | 1993s14             |         417 |    0 |          0 |          0 |             103 |              2,161 |           1,429 |          262 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 2730    | RichGreen           |         416 |    0 |          0 |          0 |              25 |                684 |              85 |          411 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 49551   | notyabuggin         |         410 |    0 |          0 |          0 |              61 |              1,334 |              25 |        1,342 |            1 |                0 |                              0 |                         0 |                          185 |                         0 |                          10 |                      0
