June 2025

Driven_distance:
 Rank    User ID Username                  Driven_distance      Nickname                                
   5.      47374 ross2750                           98,165      [LCS-G] Not Ross                        
   6.      28892 ibtasim6781                        88,954      arg[cop]                                
   7.      23496 p.h.d_gonapus                      85,786      вıggı [COP]                             
   8.      22101 revleon                            82,134      Redﾉ Daddy [COP]                        
   9.      43573 wampy                              72,180      [COP] Wa m py ™                         
  10.      47305 griffin20069                       69,945      [ LCS- ﾏ] Girfen                        
  11.      44975 eiz                                66,687      eiZ#SheesH                              
  12.      10449 MousemanLV                         66,483      [ GLOW ] Mousemen                       
  13.      35128 pete211g                           59,932      Squish                                  
  14.      36991 forthe                             57,830      [COP] βч For T                          
  15.      30933 kentwolf                           56,296      [6S] Feb [COP]                          
  16.      26188 rapidfiregaming                    53,129      Redﾉ Bas                                
  17.      41712 edvinaxas                          52,265      Swim> AWECA                             
  18.      22836 leo-from-romania                   51,917      [RO] TL 17 LEO                          
  19.      46227 dragonhi                           51,755      dragonhi                                
  20.      35012 badkapp62                          50,795      Redﾉ Badkapp                            
  21.      39867 racing101                          49,128      SMOKEY                                  
  22.      41992 viktor22                           47,520      Viktor                                  
  23.      24881 madsuii                            47,137      Goose                                   
  24.         87 LeonRL                             41,333      [TC]›Leon‹[VCU]                         
  25.      47376 evari albo                         39,758      EVARI [ EE ]                            
  26.      29189 cetink.                            39,625      [ RDSR ] Fearr                          
  27.      29964 viktors3232                        39,395      Rﾉ fartpower[tow]                       
  28.      44123 kaelo_fx                           37,888      [COP] Tour GSP                          
  29.      46021 aligamingarabic                    34,481      R L • AliGaming                         
  30.       2439 Knives22                           34,217      S 203 ﾔ                                 
  31.      36474 akumaz                             33,728      ηgμ ｫ npc                               
  32.      35236 ludo99                             33,158      [CSR] ludo [COP]                        
  33.      30172 robo1990                           31,835      dﾞ [COP]ﾏ` ROBO                         
  34.      44732 [ro]wippy                          30,727      Wi pp y[RO]                             
  35.      42547 shab-k                             30,649      [COP] SHAB K                            
  36.      28938 speeddemonn                        30,551      [ RDSR ] Speed'D!                       
  37.      46087 yetkinbaba                         29,075      Redﾉ Lancer                             
  38.      39516 mehmetgulec                        28,727      ηgμ ｫ japon                             
  39.      47318 q4llo                              28,199      q 4 llo``~                              
  40.      41476 p1nhe1r0                           26,180      P1NHE1RØ                                
  41.      42258 kriszti_09                         24,788      [PACT] Krisztián                        
  42.      45862 curlin                             23,669      [ STANCE GUY ]                          
  43.      16838 god like                           23,482      [COP] L eroy                            
  44.      26192 marty_deslions                     22,613      Redﾉ Marty                              
  45.      28536 piieter050                         22,331      #420 piieter                            
  46.      32247 goncalovidigal                     21,937      вмкя gоисаlо                            
  47.      33391 snowzombeh                         19,786      Bremmo                                  
  48.      40158 renzorsa                           19,770      AI 3                                    
  49.      45254 inneshzx                           19,552      nicat                                   
  50.      32194 daugava                            18,501      BIGSMOKE                                
  51.      41871 emrecansmsk                        17,767      ( F F ) Emre.C                          
  52.      29924 icoha44                            17,543      CCI4                                    
  53.      41689 e-30 king                          17,280      ηgμ ｫ cakır                             
  54.      33123 thegamer147                        16,193      RDP•Carlos [COP]                        
  55.      46978 marcius78                          16,017      Zefkis                                  
  56.      40430 gunther steiner                    15,896      Redﾉ Steiner[COP]                       
  57.      35710 inno                               13,967      AMBASSADOR                              
  58.      38425 borgis                             13,933      Borgis                                  
  59.       3704 ian78                              13,639      Ian                                     
  60.      39413 baboulinet4                        13,183      Baboulinet [COP]                        
  61.      45684 rattao                             13,085      Rattao                                  
  62.      28134 ke608                              12,724      [MED] AAA EMS                           
  63.       6471 superstix                          12,425      Josh[COP]                               
  64.      23031 ali_dk                             12,360      Meysam                                  
  65.      38424 haugis                             12,344      Haugis                                  
  66.      39491 kabaczek007                        12,305      [TAXI] Colin                            
  67.      39026 f1ne__                             12,112      Dxeno R9                                
  68.      27293 J--                                12,044      V M . January                           
  69.      46970 stalowyjan2000                     11,991      Stal Jan 2000 G29                       
  70.      36529 subbyhowl                          11,853      › Subby ‹                               
  71.      40242 astraxan                           11,796      [COP] ANATOLI                           
  72.      45351 mrconfidence                       11,756      [COP] WhiteLine                         
  73.      25704 psykoze                            11,451      [ ﾏ ]Lolita                             
  74.      44683 kauan5063                          11,089      KillerDriver™                           
  75.      34206 lastgear                           10,767      webbo                                   
  76.      40563 carreragt339                       10,580      carreragt339                            
  77.      16249 nike[lv]                            9,521      SO • Freddy [RES]                       
  78.      44487 shadow3                             9,434      ReeP (G29)                              
  79.      38919 maatthieu01                         9,397      UnL ucky Way                            
  80.      32287 rikopikomaradon                     9,033      LIVE_ FOR_ WEED ®                       
  81.      12062 Xsess                               9,029      ™ Fun X sess                            
  82.      46975 vimonuster                          8,806      V I M onu ster                          
  83.      43796 toxipas                             8,736      HELL sas                                
  84.       1238 Rascar13                            8,564      [TC]›Ras‹                               
  85.      28654 mbt                                 8,397      ｢O K｣ мвт                               
  86.      34106 urke_radovanovic                    8,307      [ DS ] Urke                             
  87.      42307 dzymcia                             8,296      Dzymcia                                 
  88.      43197 luiso12                             8,159      Luisoo [V902]                           
  89.      32208 !luz                                8,065      [ HURRY BUS ] Xëc                       
  90.      46873 vlastimil                           7,935      Brehaaim                                
  91.      45588 razorworkss                         7,935      ｫRazor'                                 
  92.      35468 norvegas1997                        7,918      ˜ Schnitzel ˜                           
  93.      42454 jambrudas                           7,903      Redﾉ Pίcκ'Ζ.btc                         
  94.      45440 buntidondo                          7,749      [PACT] Ahmed                            
  95.      43604 realistadam                         7,603      RealistAdam                             
  96.      40843 madmikeonr                          7,572      MadMike RS                              
  97.       3895 Piggy501                            7,239      [TC] ›Nick‹ [VCU]                       
  98.      38227 ilya18101                           7,172      [COP] IRAN                              
  99.      36227 ali awad                            6,861      Mr_Racer024                             
 100.      28842 gumis0517                           6,861      [ ﾏ ]Brendon                            

Time:
 Rank    User ID Username                             Time      Nickname                                
--------------------------------------------------------------------------------------------------------
   1.      45913 whatalife                             143      whatalife                               
   2.      39867 racing101                              90      SMOKEY                                  
   3.      37942 isaac68ea                              87      Redﾉ Newton, Isaac                      
   4.      40659 cgtyksy55                              74      Redﾉ CCTV                               
   5.      41544 yasso7up                               71      tBug                                    
   6.      43573 wampy                                  67      [COP] Wa m py ™                         
   7.      44911 pug=309                                60      Jason n                                 
   8.      30933 kentwolf                               57      [6S] Feb [COP]                          
   9.      42317 eetz1                                  55      V M . Eetzi                             
  10.      41376 glenn quagmire                         55      Glenn Quagmire                          
  11.      47444 vetoaxel                               53      RM-racing Aleks L                       
  12.      47486 egfc                                   53      Guner                                   
  13.      40663 muratcan2370                           53      Dapolyon [V900]                         
  14.      41476 p1nhe1r0                               53      P1NHE1RØ                                
  15.      41796 countess                               52      Countess                                
  16.      30172 robo1990                               51      dﾞ [COP]ﾏ` ROBO                         
  17.      46318 nortaf007                              49      ηgμ ｫ nor[TAXI]                         
  18.      47374 ross2750                               49      [LCS-G] Not Ross                        
  19.      47387 unisold                                49      velleman                                
  20.      47318 q4llo                                  47      q 4 llo``~                              
  21.      46021 aligamingarabic                        45      R L • AliGaming                         
  22.      47425 imigothacked3times                     44      ImIGotHacked3Times                      
  23.      46227 dragonhi                               43      dragonhi                                
  24.      47473 msgtuner                               42      msgtuner                                
  25.      28938 speeddemonn                            41      [ RDSR ] Speed'D!                       
  26.      36529 subbyhowl                              40      › Subby ‹                               
  27.      13401 GT4_PL                                 39      G T 4 t u b e                           
  28.      40193 benray12345                            39      SO • Benray                             
  29.      16838 god like                               39      [COP] L eroy                            
  30.      47305 griffin20069                           38      [ LCS- ﾏ] Girfen                        
  31.      39608 y a k u z                              38      V M . Yakuz                             
  32.      47505 lil.kapuczino                          38      pedro                                   
  33.      30277 robb5                                  37      R obert                                 
  34.      47484 dzefka                                 37      GrenmaDrive                             
  35.      36474 akumaz                                 36      ηgμ ｫ npc                               
  36.      31122 crt7                                   36      ｢O K｣ Mimsip                            
  37.       1238 Rascar13                               36      [TC]›Ras‹                               
  38.      45684 rattao                                 35      Rattao                                  
  39.      40408 deagle762                              35      Ｄｅａｇｌｅ ﾑ                                
  40.      42795 acidboy                                34      ηgμ ｫ adac[MED]                         
  41.      22662 bowler                                 34      [PACT] Ganji [COP]                      
  42.      44082 nevoian                                34      nevoian                                 
  43.      25215 m52b28                                 33      Buying (TC) Cash                        
  44.      42004 tdiahmet_                              33      tdiªhmet                                
  45.      46757 snst                                   32      [ ﾏ ] SNSﾞ                              
  46.      47445 charles leclerc 16                     31      [S y N] Lewis                           
  47.      30093 thatyorkshireman                       31      [TC] ›Yung‹                             
  48.      44602 yeetwithcream                          30      Yeet With Cream                         
  49.      45440 buntidondo                             29      [PACT] Ahmed                            
  50.      42343 bigdoa                                 29      baghdad                                 
  51.      47449 supertrini                             29      Supertrini                              
  52.      45351 mrconfidence                           29      [COP] WhiteLine                         
  53.      27518 actros555                              29      Dennis1499                              
  54.      45138 rodolfosoy                             29      rodolfo                                 
  55.       3895 Piggy501                               28      [TC] ›Nick‹ [VCU]                       
  56.      42617 rubbel_31                              28      ηgμ ｫ racon                             
  57.      44975 eiz                                    28      eiZ#SheesH                              
  58.      28892 ibtasim6781                            28      arg[cop]                                
  59.      29189 cetink.                                28      [ RDSR ] Fearr                          
  60.      45862 curlin                                 27      [ STANCE GUY ]                          
  61.      40866 01alperen001                           26      RDP•Ali [COP]                           
  62.      46575 claudio_cc                             26      [SHITVIK] Caudo                         
  63.      29421 patryk1967                             26      [TC] ›Wil‹ [TOW]                        
  64.      22836 leo-from-romania                       26      [RO] TL 17 LEO                          
  65.      44045 sirac.54_                              25      [PACT] Muffin                           
  66.      41373 shinigami85                            25      { Squid } Sweety                        
  67.      40843 madmikeonr                             25      MadMike RS                              
  68.      45411 black2hi                               25      S Y NC ¨                                
  69.      40158 renzorsa                               25      AI 3                                    
  70.      42547 shab-k                                 25      [COP] SHAB K                            
  71.      25704 psykoze                                25      [ ﾏ ]Lolita                             
  72.      27785 sir elton john                         24      [TC] ›Chaz‹ [VCU]                       
  73.      16012 tnt25                                  24      [6S] Adamo [COP]                        
  74.      47228 flixdamber                             24      flixdamber                              
  75.      29964 viktors3232                            24      Rﾉ fartpower[tow]                       
  76.      43444 slyvute                                23      [PACT] Trax [COP]                       
  77.      22101 revleon                                23      Redﾉ Daddy [COP]                        
  78.      40722 mes(race)                              23      Redﾉ Flyaway57                          
  79.      40242 astraxan                               23      [COP] ANATOLI                           
  80.      47491 dogukan53635                           23      MSS                                     
  81.      45902 dravens                                22      °S4CE | Ere Not                         
  82.      33391 snowzombeh                             22      Bremmo                                  
  83.      26253 lucasazedo                             22      Redﾉ Lucas                              
  84.      32194 daugava                                22      BIGSMOKE                                
  85.      26192 marty_deslions                         22      Redﾉ Marty                              
  86.      45905 sezerbey23                             22      Smash                                   
  87.      35236 ludo99                                 22      [CSR] ludo [COP]                        
  88.      39516 mehmetgulec                            22      ηgμ ｫ japon                             
  89.      39264 lubomir371                             22      [CSR] •L.ivanov156                      
  90.      40681 supracii3529                           21      Kagvafil                                
  91.      39496 leo2828                                21      LEOD.IT YT                              
  92.      43231 uf1                                    21      } uf1                                   
  93.      44847 szyvkiseba                             21      szafranito                              
  94.      37136 sensizim02                             21      ＧＴＣゑNaughty                             
  95.      46626 ayca_arslan                            21      ayca_arslan                             
  96.      46545 elmilicox2                             20      ma zz i '                               
  97.      28536 piieter050                             20      #420 piieter                            
  98.      45594 driv9                                  20      [P R ] Driv9                            
