2025 Summary
Data from: TC_Database_03_2025.db, TC_Database_04_2025.db, TC_Database_05_2025.db, TC_Database_06_2025.db

Driven_distance:
 Rank    User ID Username                  Driven_distance      Nickname                                
   1.      22120 theponczek                      2,442,156      [ RDSR ] Ponczek                        
   2.      45913 whatalife                       1,841,618      whatalife                               
   3.      45026 gtaplay                           533,010      ＰＩＬＯＴ                                   
   4.      28938 speeddemonn                       505,403      RDR • Speed! [RES]                      
   5.      40663 muratcan2370                      486,679      Dapolyon [V900]                         
   6.       1505 klbbadd2002                       469,277      [TC]›Dizzle‹                            
   7.      39399 ogdave                            356,651      Redﾉ Dave                               
   8.      36991 forthe                            344,728      [COP] βч For T                          
   9.      28892 ibtasim6781                       314,085      ghutra                                  
  10.      29964 viktors3232                       291,714      furzkanone                              
  11.      29639 13brotary                         290,772      13brotary                               
  12.      42317 eetz1                             289,679      V M . Eetzi                             
  13.      36474 akumaz                            288,802      ηgμ ｫ npc                               
  14.      25995 gorkema67                         275,713      [COP] -dr                               
  15.       3895 Piggy501                          270,421      [TC] ›Nick‹                             
  16.      20375 notsosideways                     250,119      [TC-G] Blacktop                         
  17.      42632 theend2727                        218,001      JDMWorks • Orhn .e                      
  18.      40242 astraxan                          206,411      TERMINATOR                              
  19.      24634 bkrisztian91                      167,468      [CSR] Botos                             
  20.      37942 isaac68ea                         166,045      Redﾉ Newton, Isaac                      
  21.      40500 m4w005                            160,269      Terrible Tony                           
  22.      13142 ledzz                             152,302      yt/ ledjdm                              
  23.      30933 kentwolf                          150,159      [6S] Feb [COP]                          
  24.      41689 e-30 king                         146,542      ηgμ ｫ cakır                             
  25.      16012 tnt25                             146,483      [6S] Adamo                              
  26.      30580 dezign                            143,988      [ RDSR ] Robis                          
  27.      41871 emrecansmsk                       139,859      ( F F ) Emre.C                          
  28.      40877 sametttpe                         128,729      dﾞchase ﾏ` samet                        
  29.       3245 [OD]Jardim                        128,353      ｢O K｣ Jardim                            
  30.      42454 jambrudas                         128,242      Rﾉ Pίcκ'Ζ. btc                          
  31.      47374 ross2750                          125,867      [LCS-G] Not Ross                        
  32.      22562 dennyzz                           125,845      Dennis                                  
  33.         87 LeonRL                            123,088      [TC] ›Leon‹                             
  34.      23496 p.h.d_gonapus                     122,800      [COP] вıggı                             
  35.      39867 racing101                         122,231      SMOKEY                                  
  36.      46021 aligamingarabic                   121,456      Im Ali Friend                           
  37.      46227 dragonhi                          120,345      dragonhi                                
  38.      41712 edvinaxas                         119,973      Swim> AWECA                             
  39.      43197 luiso12                           114,045      Luisoo [V902]                           
  40.      47238 ilithor                           109,379      [COP] βч Emr E                          
  41.      31993 aplastador200                      96,569      [COP] Aplazt                            
  42.      36092 thesevenofclubs                    93,788      [6S] Anansi [COP]                       
  43.      42795 acidboy                            92,676      ηgμ ｫ adac                              
  44.      41028 alper0731                          92,084      ㄔ YASLI KURT                            
  45.      40659 cgtyksy55                          87,389      Redﾉ CCTV                               
  46.      22101 revleon                            86,526      Redﾉ Daddy [COP]                        
  47.      12477 mikebez                            82,430      [TC] ›Bez‹ [COP]                        
  48.      46875 nori258                            79,004      NORI                                    
  49.      41469 jacok                              76,057      Kermit                                  
  50.      43163 marijamopleenjoyer                 72,928      xliM SL                                 
  51.      45588 razorworkss                        72,408      ｫRazor'                                 
  52.      16249 nike[lv]                           72,138      SO • Freddy                             
  53.      10449 MousemanLV                         68,608      MousemanLV                              
  54.      29361 f-looki                            66,970      moldc                                   
  55.      44732 [ro]wippy                          66,597      Wi pp y[RO]                             
  56.      21218 khaledalshihry                     65,820      V M . K3s[COP]                          
  57.      28459 pro player128                      65,324      [ FIN ] Soppa                           
  58.      45444 argamingarabic                     64,000      Mr r p                                  
  59.      22836 leo-from-romania                   62,446      [RO] TL 17 LEO                          
  60.      36473 jamarsk                            61,003      [MED] Mario                             
  61.      42864 mertsenyasa                        60,345      ＭＥＲＴ Ｓ .                                
  62.       7865 djtiesto                           59,860      djtiesto                                
  63.      27293 J--                                57,719      V M . JF[COP]                           
  64.      43444 slyvute                            57,091      [PACT] Traxyss                          
  65.      24989 mohamadxgames                      56,551      ! 21 Çabbage ™                          
  66.      41476 p1nhe1r0                           56,051      P1NHE1RØ                                
  67.      40191 mooses60                           54,834      Moose                                   
