May 2025

Driven_distance:
 Rank    User ID Username                  Driven_distance      Nickname                                
   2.       1505 klbbadd2002                       530,725      [TC]›Dizzle‹ [VCU]                      
   3.      41871 emrecansmsk                       514,030      ( F F ) Emre.C                          
   4.      28938 speeddemonn                       453,662      RDP • Speed! [COP]                      
   5.      29639 13brotary                         282,026      13brotary                               
   6.      45026 gtaplay                           137,130      ＰＩＬＯＴ                                   
   7.      16012 tnt25                             124,852      [6S] Adamo                              
   8.      47238 ilithor                           110,576      βч. Emr E                               
   9.      40659 cgtyksy55                         101,822      Redﾉ CCTV                               
  10.      25995 gorkema67                         101,565      [COP] -dr                               
  11.      46227 dragonhi                           95,076      dragonhi                                
  12.      23496 p.h.d_gonapus                      87,281      вıggı                                   
  13.      40877 sametttpe                          69,692      dﾞ [COP] ﾏ`samet                        
  14.      36092 thesevenofclubs                    67,691      [6S] Anansi                             
  15.         87 LeonRL                             62,489      [TC]›Leon‹[VCU]                         
  16.      42979 firatrobert_07                     58,984      [PACT] Robert [G29]                     
  17.      40242 astraxan                           57,752      [COP] MOTORHEAD                         
  18.      31993 aplastador200                      54,892      [ LCS ] Aplazt                          
  19.      47307 wavebulgaria                       51,569      S Shi kov                               
  20.      25566 dyprakz                            49,522      Irish Stig                              
  21.      28892 ibtasim6781                        48,417      ghutra                                  
  22.      41712 edvinaxas                          47,699      Swim> AWECA                             
  23.      26192 marty_deslions                     45,895      Redﾉ Marty [TOW]                        
  24.      43143 enesozdil                          45,359      βч. Ene S                               
  25.      42729 street_stars                       44,347      Bad Driver                              
  26.      40663 muratcan2370                       43,157      Dapolyon [V900]                         
  27.      44395 006s                               42,342      βч. Azi Z                               
  28.      12477 mikebez                            41,257      [TC] ›Bez‹ [COP]                        
  29.       3245 [OD]Jardim                         39,395      ｢O K｣ Jardim                            
  30.      36497 giulio niewiadomski                36,998      [PM] Vitas 718                          
  31.      30933 kentwolf                           36,990      [6S] February                           
  32.      42317 eetz1                              36,231      V M . Eetzi                             
  33.      44732 [ro]wippy                          35,870      Wi pp y[RO]                             
  34.      33967 esperanto_ch                       35,812      x3w 4u 0ux                              
  35.      28305 piresin                            35,601      Ξ Ξ ~ Siwell                            
  36.      23031 ali_dk                             35,542      Meysam                                  
  37.      35257 inacio_block                       34,111      V M . Thunder                           
  38.      27733 tannuq                             33,513      ﾙﾚ ※ Тannu                              
  39.      41376 glenn quagmire                     33,449      Glenn Quagmire                          
  40.      42343 bigdoa                             32,870      み Npoh                                  
  41.      46021 aligamingarabic                    32,758      R L • AliGaming                         
  42.      36345 juodablack                         32,546      [ ﾏ ] Andrius                           
  43.      35468 norvegas1997                       32,290      ˜ Schnitzel ˜                           
  44.      39867 racing101                          31,824      SMOKEY                                  
  45.      16185 turb0keule                         30,506      [TOW] Keule                             
  46.       3704 ian78                              28,339      Ian                                     
  47.      47374 ross2750                           28,207      [LCS-G] Not Ross                        
  48.      41469 jacok                              27,709      Kermit                                  
  49.      40647 wolf135                            26,782      CERTI DRIVERS                           
  50.      29924 icoha44                            26,293      CCI4                                    
  51.      35819 olek250                            26,059      Ole                                     
  52.      43083 dz0fps                             25,900      Dz                                      
  53.      29988 xx_huguinho753_xx                  25,717      hg                                      
  54.      31311 zgrywus1908                        25,132      [ KTS ] Zgryw[RES]                      
  55.      22662 bowler                             24,382      [PACT] Ganji [COP]                      
  56.      39472 map_top                            22,279      ηgμ ｫ maptop                            
  57.      44536 guven_shbz                         22,232      ｢ 尺 ｣ﾀﾘﾚｸﾖﾙ                             
  58.      22836 leo-from-romania                   22,102      [RO] TL 17 LEO                          
  59.      40361 cocusz                             22,097      COCUSZ G25                              
  60.      44775 dynos                              21,971      DyNoS                                   
  61.       7733 shortay1325                        21,901      ( F F ) ﾏefleﾒｯ                         
  62.      39900 tunalfs                            21,825      dﾞchase ﾏ` Tuna                         
  63.      18075 sean_drifter                       21,787      Redﾉ SeanProd .TV                       
  64.      44487 shadow3                            21,167      ReeP (G29)                              
  65.      38090 stuchlo                            20,832      Stuchlo                                 
  66.       3895 Piggy501                           20,673      [TC] ›Nick‹                             
  67.      35578 paulo rosa                         20,631      #17 P.Rosa                              
  68.      40085 manoelbr                           20,379      MRS ﾁ MANOEL                            
  69.      41889 eymen75                            19,649      [COP] Emre Bulut                        
  70.      40866 01alperen001                       19,390      [ RDSR ] Ali                            
  71.      28654 mbt                                19,301      ｢O K｣ мвт                               
  72.      46757 snst                               19,271      [ ﾏ ] SNSﾞ                              
  73.      37781 math55                             19,151      [ MR c] Sh4rkz                          
  74.      33123 thegamer147                        18,985      [ RDSR ] Carlos                         
  75.      36473 jamarsk                            18,917      [MED] Mario                             
  76.      42305 stefanbukov                        18,067      B G R ™ Bukov                           
  77.      43637 cihanarisoylu                      17,867      ＧＴＣ ゑ Kasper                            
  78.      43691 pedrosogamer_br                    17,120      [BUS] Simas Tur                         
  79.      45440 buntidondo                         16,772      [PACT] Ahmed                            
  80.      42816 fastranker1                        16,319      [CSR] Yunos                             
  81.      30605 dirtnastysidewayz                  15,607      FENT CART DEALER                        
  82.      45319 ekremgvnr                          15,539      ＧＴＣ ゑ C4sper                            
  83.      40411 bahadir1910                        15,351      [JITEM] P A L A                         
