April 2025

Driven_distance:
 Rank    User ID Username                  Driven_distance      Nickname                                
   3.      45913 whatalife                         522,023      whatalife                               
   4.       2107 P V L                             441,635      [ DS ] P V L                            
   5.      39516 mehmetgulec                       295,484      ηgμ ｫ japon                             
   6.      45026 gtaplay                           290,026      ＰＩＬＯＴ                                   
   7.      40663 muratcan2370                      220,845      Dapolyon [V900]                         
   8.      29964 viktors3232                       218,390      • ‹Redﾉ KaS0Y                           
   9.      36474 akumaz                            214,813      ηgμ ｫ npc                               
  10.      42317 eetz1                             191,818      V M . Eetzi                             
  11.      39399 ogdave                            164,243      Redﾉ Dave                               
  12.      28892 ibtasim6781                       160,494      ghutra                                  
  13.      30580 dezign                            136,749      [ RDSR ] Robis                          
  14.      25995 gorkema67                         136,431      [COP] -dr                               
  15.      37942 isaac68ea                         127,344      Redﾉ Newton, Isaac                      
  16.      22562 dennyzz                           125,845      Dennis                                  
  17.      41689 e-30 king                         125,194      ηgμ ｫ cakır                             
  18.      24634 bkrisztian91                      122,096      [CSR] Botos                             
  19.      43197 luiso12                           104,454      Luisoo [V902]                           
  20.      41028 alper0731                          99,505      ㄔ YASLI KURT                            
  21.      46875 nori258                            95,244      NORI                                    
  22.      40877 sametttpe                          90,906      dﾞ [COP] ﾏ`samet                        
  23.      42454 jambrudas                          79,667      Redﾉ Pίcκ'Ζ.btc                         
  24.      36473 jamarsk                            77,484      [MED] Mario                             
  25.       3245 [OD]Jardim                         69,227      ｢O K｣ Jardim                            
  26.      45588 razorworkss                        68,259      ｫRazor'                                 
  27.       7865 djtiesto                           63,711      djtiesto                                
  28.      46087 yetkinbaba                         61,202      Redﾉ Lancer                             
  29.      40242 astraxan                           58,329      [COP] MOTORHEAD                         
  30.      42795 acidboy                            57,966      ηgμ ｫ adac[MED]                         
  31.      24989 mohamadxgames                      56,551      ! 21 Çabbage ™                          
  32.      29924 icoha44                            53,850      CCI4                                    
  33.      42909 lordferius                         52,710      SG ﾏ MadJester                          
  34.      42864 mertsenyasa                        50,134      ＭＥＲＴ Ｓ .                                
  35.      15790 alexb11                            48,513      [COP] Alex DVU                          
  36.      40158 renzorsa                           48,464      AI 3                                    
  37.      24713 maketsi30                          47,172      [TC-G] Dodo                             
  38.      43444 slyvute                            46,951      [PACT] Traxyss                          
  39.      40659 cgtyksy55                          46,560      Redﾉ CCTV                               
  40.      31993 aplastador200                      46,245      [ LCS ] Aplazt                          
  41.      30933 kentwolf                           45,342      [6S] February                           
  42.      31470 dawid_1000                         45,001      Daweed1k                                
  43.      28459 pro player128                      44,594      [ FIN ] Soppa                           
  44.      40191 mooses60                           43,811      Moose                                   
  45.      38899 luisbarros                         42,588      luisbarros                              
  46.      38014 batekris07                         41,777      •FG• Kris4o                             
  47.      13142 ledzz                              41,415      yt/ ledjdm                              
  48.      31122 crt7                               41,035      ｢O K｣ Mimsip                            
  49.      29189 cetink.                            40,997      [ RDSR ] Fearr                          
  50.      26457 rb26dettlove                       40,979      Ｕｋｒ４ｉＮ                                  
  51.      40193 benray12345                        40,515      SO • Benray                             
  52.      46558 victorgtt                          39,276      V T                                     
  53.      40430 gunther steiner                    38,728      Redﾉ Steiner[COP]                       
  54.      42343 bigdoa                             37,934      み Npoh                                  
  55.      44818 rahhender                          37,556      Rahhender                               
  56.      40257 kiit1337                           37,468      Redﾉ Highneck¥                          
  57.      41469 jacok                              35,535      Kermit                                  
  58.      12477 mikebez                            34,669      [TC] ›Bez‹ [COP]                        
  59.      31598 spankyjack3                        32,990      Redﾉ FATHER                             
  60.       3895 Piggy501                           32,481      [TC] ›Nick‹                             
  61.      12266 nelahh                             32,005      †hë ™ ¢øllëç†ør                         
  62.       8692 Stockmans                          30,996      [Elite] Stocky                          
  63.      30277 robb5                              30,477      R obert                                 
  64.      45444 argamingarabic                     26,822      Mr r p                                  
  65.      39098 mamba824                           26,800      Mamba                                   
  66.      44319 cezarviking                        26,675      Viking Björn                            
  67.      29040 remst                              25,851      Rem                                     
  68.      28151 amarex                             25,693      [ ﾏ ] Rex                               
  69.      46978 marcius78                          25,371      Zefkis                                  
  70.      46062 ross1e                             24,261      SWIM> SHEFW                             
  71.      39867 racing101                          24,113      SMOKEY                                  
  72.      45351 mrconfidence                       23,904      WhiteLine License                       
  73.        913 sicon                              23,818      S!c0n                                   
  74.      28938 speeddemonn                        23,768      RDP • Speed! [COP]                      
  75.      15402 vertti7                            23,731      V M . Deaky                             
  76.      36092 thesevenofclubs                    23,575      [6S] Anansi                             
  77.      43214 raion4545                          23,062      ηgμ ｫ meow                              
  78.      43034 kadirarslann                       22,738      E55 Kompressor                          
  79.      47073 batuhan355131                      22,434      batuhan3551                             
  80.      40263 subuwu                             22,280      FF 14                                   
  81.      38747 sweatformystyle                    22,094      [COP] • Max                             
  82.      22001 lavezzi                            21,792      Panda selling insim                     
  83.      24338 vercetti87                         21,762      Drunkﾉ Greta                            
  84.      46125 angelopascarella                   21,256      [P R ] たくみ                              
  85.      44103 badass06                           21,068      ηgμ ｫ ruling                            
  86.      27076 ataslfs24                          20,297      δhadowη • hmza                          
  87.        132 CRC Titan2000                      19,975      [ DS ] Titan                            
  88.      36227 ali awad                           19,789      Mr_Racer024                             
  89.      16249 nike[lv]                           19,737      SO • Freddy                             
  90.      42617 rubbel_31                          18,233      ηgμ ｫ racon                             
  91.      25589 jorks                              18,217      Dorks ™                                 
  92.      39612 greg1995                           18,088      SO • Greg                               
  93.      21218 khaledalshihry                     17,946      V M . K3s[COP]                          
  94.      32627 byach                              17,847      Byach                                   
  95.      45902 dravens                            17,822      °S4CE | Ere Not                         
  96.      40746 solomanlane                        17,689      ㄔ Alperen                               
  97.      39608 y a k u z                          17,008      V M . Yakuz                             
  98.      42816 fastranker1                        16,873      [CSR] Yunos                             
  99.      45717 emircantaskinn                     16,099      Asi                                     
 100.      40605 emileker                           16,035      Rabdo                                   

Time:
 Rank    User ID Username                             Time      Nickname                                
--------------------------------------------------------------------------------------------------------
   1.      39867 racing101                             231      SMOKEY                                  
   2.      44975 eiz                                   221      eiZ#SheesH                              
   3.      37942 isaac68ea                             215      Redﾉ Newton, Isaac                      
   4.      45913 whatalife                             205      whatalife                               
   5.       2107 P V L                                 202      [ DS ] P V L                            
   6.      36991 forthe                                201      [COP] βч For T                          
   7.      22120 theponczek                            186      [ RDSR ] Ponczek                        
   8.      46087 yetkinbaba                            181      Redﾉ Lancer                             
   9.      25995 gorkema67                             160      [COP] -dr                               
  10.      12846 DJmad                                 140      insurance fraud.                        
  11.      41544 yasso7up                              131      tBug                                    
  12.      42317 eetz1                                 128      V M . Eetzi                             
  13.      39516 mehmetgulec                           127      ηgμ ｫ japon                             
  14.      45026 gtaplay                               122      ＰＩＬＯＴ                                   
