Date (GMT) | ID    | Username             | Nick                                | Daily XP's | Total XP | Daily Fines Earned ($) | Total Fines Earned ($) | Daily Playing Time (hours) | Total Playing Time (hours) | Daily Driven Distance (km) | Total Driven Distance (km) | Daily Time Spent Chasing (hours) | Total Time Spent Chasing (hours) | Daily Driven Distance Chasing (km) | Total Driven Distance Chasing (km) | Daily Time Spent Speed Trapping (minutes) | Total Time Spent Speed Trapping (minutes) | Daily Roadblocks Placed | Total Roadblocks Placed
2025-03-10 | 39413 | baboulinet4          | Baboulinet [COP]                    |         48 |  139,486 |                    183 |                310,810 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 23031 | ali_dk               | [COP]CityRamming                    |         29 |  279,630 |                      0 |                865,217 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 42795 | acidboy              | ηgμｫadac[COP]                       |          0 |   18,210 |                      0 |                 56,227 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 32361 | szymon3211           | [6S] Hams [COP]                     |          0 |  525,543 |                      0 |              1,476,009 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 40107 | fronzy34             | noob [COP]                          |          0 |  135,405 |                      0 |                312,601 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 46087 | yetkinbaba           | [COP]LancerBoobs                    |          0 |   36,510 |                      0 |                138,452 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 42979 | firatrobert_07       | Robert [COP]                        |          0 |   59,894 |                      0 |                298,409 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 28654 | mbt                  | ｢OK｣ мвт [COP]                      |          0 |  190,873 |                      0 |                619,805 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 22001 | lavezzi              | [COP]Panda                          |          0 |  160,110 |                      0 |                551,943 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 44378 | theshadowxps         | [COP]Shadow                         |          0 |    2,175 |                      0 |                  9,228 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 29988 | xx_huguinho753_xx    | Hzh [COP]                           |          0 |  273,895 |                      0 |                789,485 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 16012 | tnt25                | [6S] Adamo [COP]                    |          0 |   76,953 |                    120 |                240,640 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
-----------+-------+----------------------+-------------------------------------+------------+----------+------------------------+------------------------+----------------------------+----------------------------+----------------------------+----------------------------+----------------------------------+----------------------------------+------------------------------------+------------------------------------+-------------------------------------------+-------------------------------------------+-------------------------+------------------------
2025-03-11 | 43110 | jibalonskis          | Swim>Jibal[COP]                     |      1,446 |   17,763 |                  6,919 |                135,237 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 23031 | ali_dk               | [COP]CityRamming                    |      1,322 |  280,952 |                  4,963 |                870,180 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 39867 | racing101            | SMOKEY [COP]                        |      1,093 |  100,355 |                  6,963 |                475,472 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 30580 | dezign               | RDP•Robis [COP]                     |        810 |  166,004 |                  3,911 |                521,725 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 45835 | raklomore            | rak[COP]                            |        684 |   14,197 |                  3,389 |                 64,398 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
